,Bill,Sponsor,Ayes,Nays,Abstentions,Venue,Sponsor Last Names,Dem Sponsors,Rep Sponsors
1073,AB1073,Blanca Rubio (A) ,64,1,16,Floor,['Blanca Rubio (A) '],0,0
1075,AB1075,Holden (A) ,75,1,5,Floor,['Holden (A) '],1,0
1076,AB1076,Ting (A) ,52,21,7,Floor,['Ting (A) '],1,0
1080,AB1080,"Gonzalez (A) , Calderon (A) , Friedman (A) , Ting (A) ",44,19,17,Floor,"['Gonzalez (A) ', ' Calderon (A) ', ' Friedman (A) ', ' Ting (A) ']",4,0
1082,AB1082,Low (A) ,76,1,4,Floor,['Low (A) '],1,0
1083,AB1083,Burke (A) ,74,1,6,Floor,['Burke (A) '],1,0
1085,AB1085,McCarty (A) ,78,1,2,Floor,['McCarty (A) '],1,0
1086,AB1086,Bauer-Kahan (A) ,53,18,9,Floor,['Bauer-Kahan (A) '],1,0
1088,AB1088,Wood (A) ,78,1,2,Floor,['Wood (A) '],1,0
1089,AB1089,Mark Stone (A) ,77,1,3,Floor,['Mark Stone (A) '],0,0
1092,AB1092,Jones-Sawyer (A) ,42,28,10,Floor,['Jones-Sawyer (A) '],1,0
1093,AB1093,Blanca Rubio (A) ,77,1,3,Floor,['Blanca Rubio (A) '],0,0
1095,AB1095,Eduardo Garcia (A) ,76,1,4,Floor,['Eduardo Garcia (A) '],0,0
1097,AB1097,Holden (A) ,75,1,5,Floor,['Holden (A) '],1,0
1098,AB1098,"O'Donnell (A) , Wood (A) ",77,1,3,Floor,"[""O'Donnell (A) "", ' Wood (A) ']",2,0
1099,AB1099,Calderon (A) ,76,1,4,Floor,['Calderon (A) '],1,0
1100,AB1100,Kamlager-Dove (A) ,75,1,5,Floor,['Kamlager-Dove (A) '],0,0
1104,AB1104,Calderon (A) ,77,1,3,Floor,['Calderon (A) '],1,0
1107,AB1107,Chu (A) ,62,1,18,Floor,['Chu (A) '],1,0
1110,AB1110,Friedman (A) ,58,19,3,Floor,['Friedman (A) '],1,0
1111,AB1111,Friedman (A) ,72,3,5,Floor,['Friedman (A) '],1,0
1112,AB1112,Friedman (A) ,73,1,6,Floor,['Friedman (A) '],1,0
1116,AB1116,Grayson (A) ,78,1,2,Floor,['Grayson (A) '],1,0
1117,AB1117,Grayson (A) ,78,1,2,Floor,['Grayson (A) '],1,0
1118,AB1118,Blanca Rubio (A) ,60,14,6,Floor,['Blanca Rubio (A) '],0,0
1122,AB1122,Irwin (A) ,74,1,6,Floor,['Irwin (A) '],1,0
1123,AB1123,Reyes (A) ,58,19,3,Floor,['Reyes (A) '],1,0
1124,AB1124,Maienschein (A) ,66,1,14,Floor,['Maienschein (A) '],1,0
1125,AB1125,Cooley (A) ,70,1,9,Floor,['Cooley (A) '],1,0
1128,AB1128,Petrie-Norris (A) ,74,1,6,Floor,['Petrie-Norris (A) '],1,0
1130,AB1130,Levine (A) ,46,19,15,Floor,['Levine (A) '],1,0
1131,AB1131,Gloria (A) ,75,1,5,Floor,['Gloria (A) '],1,0
1132,AB1132,Gabriel (A) ,76,1,4,Floor,['Gabriel (A) '],1,0
1133,AB1133,Low (A) ,72,2,6,Floor,['Low (A) '],1,0
1137,AB1137,Nazarian (A) ,78,1,2,Floor,['Nazarian (A) '],1,0
1138,AB1138,Gallagher (A) ,56,6,18,Floor,['Gallagher (A) '],0,1
1142,AB1142,Friedman (A) ,78,1,2,Floor,['Friedman (A) '],1,0
1144,AB1144,Friedman (A) ,74,1,6,Floor,['Friedman (A) '],1,0
1146,AB1146,Berman (A) ,77,1,3,Floor,['Berman (A) '],1,0
1152,AB1152,Holden (A) ,76,1,4,Floor,['Holden (A) '],1,0
1153,AB1153,Wicks (A) ,78,1,2,Floor,['Wicks (A) '],1,0
